Name,Average_User_Rating,User_Rating_Count,Price,Age_Rating,Primary_Genre,Specific_Genre,Size,Original_Release_Year
Tic Tac Toe 3-in-a-row,3,345,0,4+,Games,Board,5614592,2009
Chain Rxn Free,3.5,7499,0,4+,Games,Strategy,1978912,2009
Trump It,1.5,18,0,4+,Entertainment,Card,75976704,2009
Titanic Rescue,3,38008,0.99,4+,Games,Family,7494656,2009
Ninja TD Lite,3.5,3650,0,4+,Games,Strategy,16141677,2009
Naval Fight,2.5,1604,0,4+,Games,Board,7075285,2009
MILLIONAIRE TYCOON\u2122 : Free Realestate Trading Strategy Board Game,3,17680,0,4+,Games,Entertainment,52412416,2009
Chicken Chess,3.5,7,0,4+,Games,Strategy,9431040,2009
Earth Alliance: Earth Defense,NA,NA,0,9+,Games,Entertainment,67878912,2009
Gypsy Cards,3,166,0,9+,Games,Entertainment,16702740,2009
Missile Pod Launcher,2,868,0,12+,Entertainment,Games,15370240,2009
Stone Wars,3.5,10785,0,12+,Games,Action,52757132,2009
Catan Classic,4,17440,4.99,4+,Games,Board,888494080,2009
Solve Sudoku FREE,2.5,234,0,4+,Games,Puzzle,1098368,2009
TowerMadness Zero,4,95466,0,9+,Games,Puzzle,58547200,2009
Vikings\u2122 Free,2.5,295,0,9+,Games,Entertainment,5336201,2010
Galaxy Trek,4,178,0.99,4+,Games,Strategy,9961472,2009
King of Dragon Pass,5,960,9.99,12+,Games,Entertainment,364954624,2011
Bad Apples,3,3284,0,4+,Games,Puzzle,34713600,2010
Sudoku Scrapbook,4,63,2.99,4+,Games,Strategy,27623424,2009
Handgun FREE,2,849,0,17+,Entertainment,Action,16375808,2009
Fare City: Taxi Mania FREE,3.5,532,0,4+,Games,Strategy,30134272,2009
Art Of War 2: Global Confederation,3,746,0,9+,Games,Strategy,12349649,2009
Orbital Free,4,3910,0,4+,Games,Strategy,22872064,2009
Arctopia: A Puzzle Game,4,118,0,4+,Games,Entertainment,11697152,2009
"""Traveler's Quest""",4,486,0,12+,Games,Family,283385856,2009
2012 Tumble,3.5,884,0,9+,Games,Entertainment,1250034,2009
Runway Free,3,80790,0,4+,Games,Strategy,36204544,2009
DropZap,3,1419,0.99,4+,Games,Strategy,29578240,2009
Furballs!,3.5,30,0.99,9+,Games,Casual,63169536,2009
"""Tap 'n' Pop Arcade: Group Remove""",3,297,1.99,4+,Games,Entertainment,3898368,2009
Pinochle Plus,4,893,3.99,4+,Games,Card,43512832,2009
Solo Noble - Peg Solitaire - Free,2.5,240,0,4+,Games,Board,6322647,2009
Pok\xe9 Dexter - Generation I to VI,3,1471,0.99,4+,Reference,Games,331237376,2009
Age of Conquest: North America,3.5,123,3.99,12+,Games,Board,36946944,2009
Jewel Lines Lite,2.5,6630,0,4+,Games,Puzzle,8592384,2009
Termite,3.5,158,0,4+,Games,Action,1202176,2009
"""Tap 'n' Pop Arcade: Group Remove (FREE)""",2.5,3183,0,4+,Games,Strategy,6794240,2009
T-Bomb,NA,NA,1.99,9+,Games,Puzzle,12795904,2009
Trenches,4,26674,0.99,17+,Games,Strategy,37340259,2009
Solitaire Classic,3.5,17409,0,4+,Games,Card,211776512,2009
Fragmental 3D - Build Lines with Falling Blocks!,4,84,0.99,4+,Games,Entertainment,7619584,2009
ShotTacToe,5,7,0.99,17+,Entertainment,Board,13151232,2009
European War,3.5,286,0.99,9+,Games,Entertainment,14863724,2009
Catch-21,3,1620,0,4+,Games,Strategy,11439792,2009
TapOut by Tapjoy,3.5,37435,0,4+,Games,Entertainment,11333632,2009
